opeid6,year,unitid,opeid,lowincome_pct,fafsa_sent_2ormore_pct,fafsa_sent_3ormore_pct,fafsa_sent_4ormore_pct,fafsa_sent_5ormore_pct,count_total_fafsa_applicants,first_gen_student_pct,faminc_mean
2065,2016,163578,206500,0.345538,0.659039,0.466819,0.345538,0.28833000000000003,437.0,0.409429,57057.3
2089,2016,163657,208900,0.552257,0.52394,0.31405500000000003,0.22344299999999997,0.167668,5827.0,0.460847,34223.6
7491,2016,163736,749100,0.8274229999999999,0.310875,0.13948,0.07801419999999999,0.060283699999999996,846.0,0.643216,16200.9
24950,2016,163754,2495000,0.512195,0.365854,,,,82.0,,48748.9
23310,2016,163815,2331000,0.727273,0.454545,,,,143.0,0.670103,22328.4
2091,2016,163851,209100,0.25161100000000003,0.707796,0.49001300000000003,0.37049,0.277384,3104.0,0.291724,84472.4
2095,2016,163912,209500,0.21960100000000002,0.738657,0.607985,0.500907,0.401089,551.0,0.23282399999999998,95033.9
2092,2016,163976,209200,0.198758,0.6708069999999999,,,0.36646,161.0,,105971.0
20836,2016,164058,2083600,0.6411,0.344428,0.12301,0.059334300000000006,0.040520999999999995,691.0,0.57722,28224.9
2099,2016,164076,209900,0.284061,0.749128,0.523497,0.39855,0.303166,7171.0,0.2896,78617.2
2107,2016,164173,210700,0.26400500000000005,0.766389,0.607867,0.477354,0.3677,1678.0,0.306944,80440.6
2108,2016,164216,210800,0.171429,0.803571,0.716071,0.632143,0.530357,560.0,0.160377,108391.0
2109,2016,164270,210900,0.243662,0.83662,0.733803,0.643662,0.528169,710.0,0.26363600000000004,86978.3
20739,2016,164313,2073900,0.6445310000000001,0.413411,0.216797,0.13151,0.09179689999999999,1536.0,0.489521,28923.7
41432,2016,164368,4143200,0.56,,,,,25.0,,55918.6
39653,2016,164438,3965300,0.40222199999999997,0.371111,0.14888900000000002,0.09111110000000001,0.05333330000000001,450.0,0.48484799999999995,41777.4
2114,2016,164447,211400,0.383626,0.747368,0.60117,0.488889,0.382456,855.0,0.405738,55133.7
2115,2016,164465,211500,0.32011300000000004,,,,0.66289,353.0,0.208459,78988.7
2116,2016,164474,211600,,,,,,,,
2117,2016,164492,211700,0.288612,0.726989,0.586583,0.48673900000000003,0.399376,641.0,0.396934,69493.5
21699,2016,164535,2169900,0.462687,,,,,67.0,0.526316,34489.6
2118,2016,164562,211800,0.16399999999999998,0.8029999999999999,0.711,0.6509999999999999,0.5670000000000001,1000.0,0.17529,112626.0
2121,2016,164580,212100,0.17588900000000002,0.754941,0.727273,0.6936760000000001,0.666008,506.0,0.14876,119187.0
23374,2016,164599,2337400,0.5862069999999999,,,,,58.0,,51586.4
32483,2016,164614,3248300,,,,,,28.0,,62193.8
2122,2016,164632,212200,0.45152200000000003,0.5251239999999999,0.30856300000000003,0.220807,0.16419,1413.0,0.497066,46031.9
3965,2016,164641,396500,0.5330189999999999,0.501572,0.27515700000000004,0.176101,0.116352,636.0,0.46242799999999995,40425.0
23382,2016,164678,2338200,0.650406,,,,,123.0,0.552083,25745.2
2123,2016,164720,212300,0.29736599999999996,0.676296,0.45624499999999996,0.344095,0.256585,1177.0,0.32906799999999997,74176.7
2124,2016,164739,212400,0.145867,0.8743920000000001,0.811994,0.780389,0.713938,1234.0,0.15553699999999998,123843.0
2126,2016,164748,212600,0.337119,0.546205,0.348477,0.25864699999999996,0.193598,1937.0,0.21233600000000002,78637.3
2167,2016,164775,216700,0.575792,0.33371,0.15724000000000002,0.10520399999999999,0.0757919,884.0,0.448684,33919.1
8178,2016,164845,817807,0.785423,0.39837,0.16659100000000002,0.0914441,0.055681299999999996,2209.0,0.527961,19866.4
3966,2016,164872,396600,0.528571,0.557143,,,,70.0,,44319.9
2128,2016,164924,212800,0.17314100000000002,0.902158,0.876259,0.84988,0.8263790000000001,2085.0,0.131896,132357.0
2130,2016,164988,213000,0.21750500000000003,0.804197,0.7658,0.729788,0.684236,4193.0,0.169383,105822.0
2133,2016,165015,213300,0.252822,0.785553,0.758465,0.7381489999999999,0.705418,886.0,0.16307,97039.2
2183,2016,165024,218300,0.308086,0.69726,0.483404,0.379817,0.294943,4489.0,0.341422,71444.2
2176,2016,165033,217600,0.541986,0.335214,0.17358900000000002,0.11015799999999999,0.0749436,4430.0,0.5073840000000001,37924.1
6322,2016,165060,632200,0.42458100000000004,0.296089,,,,179.0,0.49333299999999997,48498.3
11210,2016,165112,1121000,0.689735,0.43973500000000004,0.272351,0.2,0.156126,6040.0,0.54897,22987.6
21829,2016,165167,2182900,0.549793,0.425311,0.180498,0.10373399999999999,0.06224069999999999,482.0,0.509383,31226.4
2168,2016,165194,216800,0.5656180000000001,0.33307800000000004,0.188028,0.137375,0.0990023,1303.0,0.41323000000000004,34374.7
22204,2016,165255,2220400,0.5330739999999999,0.2607,0.0894942,,,257.0,0.47087399999999996,45162.7
6324,2016,165264,632400,0.408673,0.532194,0.23784499999999997,0.147175,0.0932983,761.0,0.451078,48535.9
2139,2016,165334,213900,0.191799,0.896825,0.863757,0.824074,0.769841,756.0,0.162953,94751.4
2143,2016,165529,214300,0.24526900000000001,0.759825,0.640466,0.541485,0.457787,1374.0,0.300157,85559.4
12461,2016,165556,1246115,0.7037979999999999,0.337787,0.116349,0.06140219999999999,0.03738180000000001,6661.0,0.560305,25653.4
2144,2016,165574,214400,0.32243,0.719626,0.574766,0.45443900000000004,0.366822,856.0,0.316819,73998.8
5519,2016,165608,551900,0.514563,,,,,103.0,0.627907,37693.3
6136,2016,165635,613600,0.609302,0.274419,,,,215.0,0.5059520000000001,30225.3
2145,2016,165644,214500,0.320548,0.668493,0.46301400000000004,0.375342,0.287671,365.0,0.30094,62088.1
2146,2016,165662,214600,0.193624,0.8794709999999999,0.793157,0.708398,0.614308,1286.0,0.13155799999999998,118339.0
2147,2016,165671,214700,0.182266,0.919212,0.8640389999999999,0.808867,0.7123149999999999,1015.0,0.207368,98283.8
2148,2016,165699,214800,0.167651,0.8005909999999999,0.725997,0.649926,0.539882,1354.0,0.18948199999999998,114014.0
2149,2016,165705,214900,,,,,,,,
12948,2016,165750,1294800,0.839623,,,,,106.0,0.573529,19182.8
