year,fips,unitid,reqt_hs_diploma,reqt_hs_rank,reqt_test_scores,reqt_sat_scores,reqt_other_test,reqt_residence,reqt_ability_to_benefit,reqt_age,reqt_toefl,reqt_other,years_college_reqd,no_entering_freshmen,open_admissions_policy,reqt_hs_gpa,reqt_hs_record,reqt_college_prep,reqt_recommendations,reqt_competencies,sat_act_report_period,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2017,5,106467,,2.0,2.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2017,5,106485,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106494,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106546,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,7.0,100.0,,,,,19.0,26.0,19.0,25.0,17.0,22.0,,,,
2017,5,106625,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106704,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,0.0,2.0,0.0,0.0,,75.0,4.0,1825.0,94.0,470.0,555.0,500.0,580.0,21.0,27.0,19.0,25.0,21.0,28.0,,,,
2017,5,106713,,1.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,10.0,7.0,128.0,92.0,420.0,555.0,468.0,535.0,18.0,22.0,17.0,23.0,17.0,22.0,,,,
2017,5,106795,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106810,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106829,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106883,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106892,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106908,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106980,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,106999,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,5,107044,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,2.0,1.0,2.0,1.0,0.0,,270.0,28.0,850.0,90.0,530.0,650.0,520.0,630.0,22.0,28.0,22.0,31.0,21.0,27.0,,,,
2017,5,107071,,1.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,0.0,0.0,0.0,,28.0,5.0,589.0,95.0,476.0,558.0,478.0,565.0,19.0,25.0,19.0,26.0,18.0,25.0,,,,
