unitid,year,ftpt,fips,retention_rate,returning_students,prev_cohort,prev_exclusions,prev_cohort_adj
105534,2017,1,4,0.49,69.0,142.0,1.0,141.0
105534,2017,2,4,,,,,
105534,2017,99,4,0.49,69.0,142.0,1.0,141.0
105543,2017,1,35,0.61,128.0,210.0,0.0,210.0
105543,2017,2,35,,,,,
105543,2017,99,35,0.61,128.0,210.0,0.0,210.0
105589,2017,1,4,0.72,34.0,45.0,0.0,47.0
105589,2017,2,4,,,,,
105589,2017,99,4,0.72,34.0,45.0,0.0,47.0
105659,2017,1,4,0.73,127.0,173.0,0.0,173.0
105659,2017,2,4,,,,,
105659,2017,99,4,0.73,127.0,173.0,0.0,173.0
105668,2017,1,4,0.34,37.0,109.0,0.0,109.0
105668,2017,2,4,0.34,77.0,228.0,0.0,228.0
105668,2017,99,4,0.34,114.0,337.0,0.0,337.0
105677,2017,1,4,,,,,
105677,2017,2,4,,,,,
105677,2017,99,4,,0.0,0.0,0.0,0.0
105701,2017,1,4,0.42,11.0,32.0,6.0,26.0
105701,2017,2,4,,,,,
105701,2017,99,4,0.42,11.0,32.0,6.0,26.0
105747,2017,1,4,0.66,442.0,673.0,0.0,673.0
105747,2017,2,4,0.45,154.0,343.0,0.0,343.0
105747,2017,99,4,0.59,596.0,1016.0,0.0,1016.0
105792,2017,1,4,0.63,278.0,441.0,0.0,441.0
105792,2017,2,4,0.43,110.0,257.0,0.0,257.0
105792,2017,99,4,0.56,388.0,698.0,0.0,698.0
105899,2017,1,4,0.66,85.0,129.0,0.0,129.0
105899,2017,2,4,,0.0,0.0,0.0,0.0
105899,2017,99,4,0.66,85.0,129.0,0.0,129.0
106041,2017,1,4,0.8,305.0,381.0,2.0,379.0
106041,2017,2,4,,,,,
106041,2017,99,4,0.8,305.0,381.0,2.0,379.0
106102,2017,1,4,0.13,7.0,53.0,0.0,53.0
106102,2017,2,4,,,,,
106102,2017,99,4,0.13,7.0,53.0,0.0,53.0
106111,2017,1,4,0.67,24.0,36.0,0.0,36.0
106111,2017,2,4,0.29,4.0,14.0,0.0,14.0
106111,2017,99,4,0.56,28.0,50.0,0.0,50.0
106148,2017,1,4,0.59,250.0,425.0,0.0,425.0
106148,2017,2,4,0.44,212.0,483.0,0.0,483.0
106148,2017,99,4,0.51,462.0,908.0,0.0,908.0
106245,2017,1,5,0.69,533.0,768.0,0.0,768.0
106245,2017,2,5,0.43,16.0,37.0,0.0,37.0
106245,2017,99,5,0.68,549.0,805.0,0.0,805.0
106263,2017,1,5,,,,,
106263,2017,2,5,,,,,
106263,2017,99,5,,0.0,0.0,0.0,0.0
106306,2017,1,5,0.4,2.0,5.0,0.0,5.0
106306,2017,2,5,,0.0,0.0,0.0,0.0
106306,2017,99,5,0.4,2.0,5.0,0.0,5.0
106315,2017,1,5,0.67,4.0,6.0,0.0,6.0
106315,2017,2,5,,,,,
106315,2017,99,5,0.67,4.0,6.0,0.0,6.0
106324,2017,1,5,0.73,8.0,11.0,0.0,11.0
106324,2017,2,5,,,,,
106324,2017,99,5,0.73,8.0,11.0,0.0,11.0
106342,2017,1,5,0.62,123.0,200.0,0.0,200.0
106342,2017,2,5,,,,,
